file,year,longitude,latitude,lr_shape,hr_shape,scale_h,channels,shape_ok,finite_ok,n_nonfinite,reflectance_ok,hr_min,hr_max,bands_ok,band_order_plausible,lr_matches_4x_avg_hr,lr_max_abs_err_vs_4x_avg,has_stored_metadata,valid
S2_2018_m121.01664_38.01323.npz,2018,-121.0166382230698,38.013229261929986,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.009800000116229057,0.506600022315979,True,True,True,0.0,True,True
S2_2018_m121.02196_38.06867.npz,2018,-121.02196383829636,38.06866670407732,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014399999752640724,0.4284000098705292,True,True,True,0.0,True,True
S2_2018_m121.02367_38.03449.npz,2018,-121.02366777005685,38.03449065303617,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01080000028014183,0.46619999408721924,True,True,True,0.0,True,True
S2_2018_m121.02412_38.03578.npz,2018,-121.0241168476883,38.035782816143694,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.010200000368058681,0.46619999408721924,True,True,True,0.0,True,True
S2_2018_m121.02512_38.01090.npz,2018,-121.02511851241793,38.01090124408195,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01145000010728836,0.5703999996185303,True,True,True,0.0,True,True
S2_2018_m121.02799_38.06852.npz,2018,-121.02798976183222,38.06851603535697,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014399999752640724,0.42800000309944153,True,True,True,0.0,True,True
S2_2018_m121.02922_38.02169.npz,2018,-121.02922336717012,38.021685665909324,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.4997999966144562,True,True,True,0.0,True,True
S2_2018_m121.03003_38.07336.npz,2018,-121.0300307564006,38.07335647919935,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.026399999856948853,0.42800000309944153,True,True,True,0.0,True,True
S2_2018_m121.03004_38.00655.npz,2018,-121.03003584755186,38.00654587409308,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01145000010728836,0.5703999996185303,True,True,True,0.0,True,True
S2_2018_m121.03113_38.01380.npz,2018,-121.0311284661556,38.01380219103328,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.5703999996185303,True,True,True,0.0,True,True
S2_2018_m121.03275_38.02566.npz,2018,-121.03274909908978,38.02566081809548,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.007350000087171793,0.477400004863739,True,True,True,0.0,True,True
S2_2018_m121.03357_38.06707.npz,2018,-121.03356621089503,38.06707294925579,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01269999984651804,0.42800000309944153,True,True,True,0.0,True,True
S2_2018_m121.03373_38.01409.npz,2018,-121.03372940433137,38.014089636376156,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.5703999996185303,True,True,True,0.0,True,True
S2_2018_m121.03727_38.01501.npz,2018,-121.03726600580437,38.015012892726645,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.47279998660087585,True,True,True,0.0,True,True
S2_2018_m121.03731_38.00281.npz,2018,-121.03730995611878,38.00280579700489,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.03280000016093254,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.03737_38.00196.npz,2018,-121.03737349942382,38.00196082069726,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.032099999487400055,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.03798_38.00267.npz,2018,-121.03797598194416,38.00266638667446,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.03280000016093254,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.03802_38.01513.npz,2018,-121.03802198234138,38.0151319059241,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.47279998660087585,True,True,True,0.0,True,True
S2_2018_m121.03974_38.01699.npz,2018,-121.03973995669811,38.01699015941685,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008750000037252903,0.47279998660087585,True,True,True,0.0,True,True
S2_2018_m121.03977_38.00783.npz,2018,-121.0397726145334,38.0078348416984,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01875000074505806,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04197_38.06143.npz,2018,-121.0419730488409,38.061433606975456,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014999999664723873,0.5315999984741211,True,True,True,0.0,True,True
S2_2018_m121.04309_38.19926.npz,2018,-121.04309190869273,38.19925770672665,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.019500000402331352,0.5112500190734863,True,True,True,0.0,True,True
S2_2018_m121.04350_38.00622.npz,2018,-121.04349942639716,38.006222987981474,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013799999840557575,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04364_38.10322.npz,2018,-121.04364259884812,38.1032228757353,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.03590000048279762,0.43880000710487366,True,True,True,0.0,True,True
S2_2018_m121.04366_38.00258.npz,2018,-121.04366347350967,38.002584651497756,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.033799998462200165,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04373_38.00174.npz,2018,-121.04372694382823,38.001739671867334,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.033799998462200165,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04382_38.00921.npz,2018,-121.04382173242568,38.00920504153457,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012199999764561653,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04400_38.00251.npz,2018,-121.0439964797325,38.00251492950646,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.033799998462200165,0.4580000042915344,True,True,True,0.0,True,True
S2_2018_m121.04472_38.19365.npz,2018,-121.0447191754053,38.19365065153511,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.019500000402331352,0.44279998540878296,True,True,True,0.0,True,True
S2_2018_m121.04605_38.01151.npz,2018,-121.04605248515159,38.011510322928515,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.011149999685585499,0.47279998660087585,True,True,True,0.0,True,True
S2_2018_m121.04714_38.00435.npz,2018,-121.0471362155396,38.004352603787005,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012199999764561653,0.45320001244544983,True,True,True,0.0,True,True
S2_2018_m121.04732_38.19699.npz,2018,-121.04731592699542,38.196989508780035,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.019500000402331352,0.4586000144481659,True,True,True,0.0,True,True
S2_2018_m121.04745_38.06999.npz,2018,-121.04745348837275,38.06999011044825,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01924999989569187,0.52920001745224,True,True,True,0.0,True,True
S2_2018_m121.04815_38.07095.npz,2018,-121.04814656764347,38.07095403375388,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.016349999234080315,0.52920001745224,True,True,True,0.0,True,True
S2_2018_m121.04823_38.09894.npz,2018,-121.04823156480548,38.09893654935734,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01489999983459711,0.4507000148296356,True,True,True,0.0,True,True
S2_2018_m121.04838_38.06342.npz,2018,-121.04838453876454,38.06341899846226,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01665000058710575,0.5315999984741211,True,True,True,0.0,True,True
S2_2018_m121.04925_38.00530.npz,2018,-121.04925059621125,38.00529601427571,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012199999764561653,0.45320001244544983,True,True,True,0.0,True,True
S2_2018_m121.05112_38.05896.npz,2018,-121.05112459452505,38.05896436984003,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014800000004470348,0.6395999789237976,True,True,True,0.0,True,True
S2_2018_m121.05159_38.08188.npz,2018,-121.05159142590416,38.08187708145912,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01205000001937151,0.38839998841285706,True,True,True,0.0,True,True
S2_2018_m121.05425_38.00425.npz,2018,-121.05424572782778,38.00424986178346,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012199999764561653,0.45320001244544983,True,True,True,0.0,True,True
S2_2018_m121.05589_38.10038.npz,2018,-121.05589023860443,38.10038418788708,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02879999950528145,0.454800009727478,True,True,True,0.0,True,True
S2_2018_m121.05590_38.07987.npz,2018,-121.05589843417921,38.07986697007012,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01205000001937151,0.4848000109195709,True,True,True,0.0,True,True
