metric,method,n,mean,std,median,ci95_low,ci95_high,paired_p_value
mae,bicubic,3000,0.008726810067193582,0.002095788919542986,0.008488488849252462,0.008651813223882714,0.00880180691050445,
mae,model,3000,0.006761807002903273,0.0018849298087875,0.006452610250562429,0.006694355655964934,0.006829258349841612,
mae,model_minus_bicubic_paired,3000,-0.00196500306429031,0.0006866575019925241,-0.0019130792934447527,-0.0019895747874275785,-0.0019404313411530416,0.0
mse,bicubic,3000,0.00024176590233219032,0.00011182167596336392,0.00022283143334789202,0.0002377644150484367,0.0002457673896159439,
mse,model,3000,0.00015916117368154422,8.844272398541204e-05,0.00013795667473459616,0.00015599629144990868,0.00016232605591317976,
mse,model_minus_bicubic_paired,3000,-8.260472865064608e-05,4.16596699876935e-05,-7.539037324022502e-05,-8.40955007953575e-05,-8.111395650593467e-05,0.0
psnr,bicubic,3000,36.594864897783296,1.9509848931416784,36.5202354614985,36.525049800008695,36.6646799955579,
psnr,model,3000,38.55831924152894,2.2273900296353357,38.60257312020337,38.47861311297417,38.63802537008371,
psnr,model_minus_bicubic_paired,3000,1.9634543437456418,0.8412138067327032,1.8372127346967488,1.9333518942736654,1.9935567932176181,0.0
ssim,bicubic,3000,0.9071876936753591,0.027053335442670384,0.9102674126625061,0.9062196024996158,0.9081557848511025,
ssim,model,3000,0.9399272117217382,0.02296061812126392,0.9438363015651703,0.9391055765544254,0.940748846889051,
ssim,model_minus_bicubic_paired,3000,0.03273951804637909,0.010686697144087397,0.032614439725875854,0.03235709950043097,0.03312193659232721,0.0
ndvi_rmse,bicubic,3000,0.06681209384649991,0.02323263631661159,0.062406161800026894,0.06598072463307969,0.06764346305992014,
ndvi_rmse,model,3000,0.04896951875649393,0.014839755915079007,0.04626993648707867,0.04843848491107337,0.04950055260191448,
ndvi_rmse,model_minus_bicubic_paired,3000,-0.017842575090005995,0.012766328452570442,-0.01442624256014824,-0.018299412286578862,-0.017385737893433128,0.0
